Nom;Catégorie;Lieu;Description 1;Description 2;Description 3;Description 4;Description 5;Site web;URL Photos;THUMB_URL;Longitude LB93;Latitude LB93;geo_shape;geo_point_2d;photos
Nicole-Reine Lepaute;Scientifiques;15 rue de Vaugirard Palais du petit Luxembourg;Nicole- Reine Lepaute née au palais du petit Luxembourg où logent ses parents au service de la famille d'Orléans.;Cartographe des comètes et des éclipses.;Elle s'illustre par le calcul de nombreuses éphémérides astronomiques et nautiques dans la seconde moitié du 18e siècle.;Elle établit la carte de la progression en Europe, de quart d'heure en quart d'heure, de l'éclipse annulaire du 1er avril 1764.;"En 1760 Alexis Clairaut qui publie la ""Théorie des comètes""  oublie de mentionner le nom de Nicole-Reine dans les travaux de vérification des calculs du retour de la comète prévu par Edmund Halley.";;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Nicole_Reine_Lepaute.jpg;651306.9659;6861223.7082;"{""coordinates"": [2.336456000419987, 48.84921499967415], ""type"": ""Point""}";48.8492149997,2.33645600042;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/64406f877500b2c80d27924fcb2e35cc
Simone de Beauvoir;77 Illustres Parisiennes;Café de Flore;Le café de Flore était considéré comme le quartier général de plusieurs grands esprits dont Simone de Beauvoir.;Avec son mari Jean-Paul Sartre, elle fait de ce lieu leur siège social et considère le café comme chez eux.;"Ici les journées de Simone de Beauvoir seront consacrées à ses écrits, devenue l'une des auteures les plus lues du monde, elle obtient le prix Goncourt pour son roman ""Les Mandarins"" en 1954.";"Théoricienne du mouvement féministe avec son livre ""Le Deuxième Sexe"", Simone de Beauvoir participe dans les années 70 au mouvement de la libération de la femme.";;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Simone_de_Beauvoir.png;651032.067;6861771.6759;"{""coordinates"": [2.332647000546757, 48.85412200034573], ""type"": ""Point""}";48.8541220003,2.33264700055;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/4120278629b35735a10f94fb9b185584
Olympe de Gouges;77 Illustres Parisiennes;18-20 rue Servandoni;Olympe de Gouges est l'auteure de la déclaration des droits de la femme et de la citoyenne » en 1791 rédigée au 18 rue Servandoni.;Elle est féministe et réformiste, milite pour l'abolition de l'esclavage et réclame des refuges pour les plus vulnérables.;Véritable engagée, elle plaide notamment aussi pour le droit au chômage des ouvriers et le droit au divorce pour les femmes.;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Olympe_de_Gouges.png;651181.1968;6861269.1346;"{""coordinates"": [2.33473700026513, 48.84961400001923], ""type"": ""Point""}";48.849614,2.33473700027;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/44ec4e241dd81dfc9b6f4f7b3be041dc
Yvonne Choquet- Bruhat;77 Illustres Parisiennes;23 quai de conti;Première femme a avoir apporté la preuve mathématiques de l'existence de solutions aux équations d'Einstein.;Yvonne Choquet-Bruhat est aussi la première femme élue en 1979, à l'Académie des sciences du 23 Quai de Conti.;;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Yvonne_Choquet.jpg;651399.8891;6862126.6391;"{""coordinates"": [2.337619000101646, 48.857342000282266], ""type"": ""Point""}";48.8573420003,2.3376190001;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/330b7baf468f1177c047b3cbb2472088
Silvia Monfort;Comédiennes;11bis, rue Elzévir;Silvia Montfort est née au 11bis rue Elzévir en 1923.;Elle obtient son bac à 14 ans, s'engage en résistance à 16 et sera décorée de la croix de guerre par le général de Gaulle à 21 ans.;Elle est une comédienne de la Nouvelle-Vague et sera une défenseuse du théâtre populaire.;Jacques Duhamel, ministre de la Culture en 1972, l'encourage à devenir directrice de théâtre, elle fonde alors la première école de cirque française.;"En 1992, le carré Sylvia Montfort voit le jour quelques mois avant son décès, le théâtre se nomme aujourd'hui ""théâtre Montfort"" et est situé dans le 15ème arrondissement.";;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/silvia_monfort.jpg;653186.0876;6862266.3856;"{""coordinates"": [2.361947000384916, 48.85873100017661], ""type"": ""Point""}";48.8587310002,2.36194700038;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/48456e14e5b8531781d37c6c5d474d74
Marie Laurencin;77 Illustres Parisiennes;1 rue Savorgnan de Brazza;Auteure de près de 2000 peintures à l'huile Marie Laurencin a un style très personnel aux frontières du fauvisme et du cubisme.;"Apollinaire lui dédie plusieurs poèmes et elle lui dédie des toiles dont ""Apollinaire et ses amis"" en 1909 où l'on reconnait Picasso et Gertrude Stein.";C'est au 1 rue Savorgnan de Brazza que l'artiste contribue par l'originalité de son oeuvre à revendiquer la place des femmes dans l'art, Marie Laurencin demeure à cette adresse jusqu'à sa mort en 1956.;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Marie_Laurencin.jpg;648901.2915;6861900.4972;"{""coordinates"": [2.303593999541468, 48.85511500023756], ""type"": ""Point""}";48.8551150002,2.30359399954;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/594b1bcc29f07d77fea670d3f49e965f
Cécile Sorel;77 Illustres Parisiennes;7 Quai Voltaire;Cécile Sorel vécut pendant 20 vingt ans au 7 quai de Voltaire.;Comédienne classique et sociétaire de la comédie française, Oscar Wilde fut un de ses admirateurs.;Connue pour ses tenues extravagantes, elle se spécialise dans les rôles de grande coquette et fera sensation dans le rôle de Célimène du Misanthrope de Molière.;Elle se convertit au catholicisme en 1950 et entre dans les ordres prenant le nom de Ste-Cécile, elle consacre ses dernières années à l’écriture et à la foi.;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Cecile_Sorel.jpg;651002.8484;6862255.972;"{""coordinates"": [2.332192999643032, 48.85847500040504], ""type"": ""Point""}";48.8584750004,2.33219299964;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/05f880d900e687c80a5aeda0187ae06f
Sarah Bernhardt;77 Illustres Parisiennes;5 rue de l'école de médecine;Le 5 rue école de médecine était le lieu de résidence de Sarah Bernhardt.;Cocteau l'appelait « le monstre sacré », Sarah Bernhardt aura une carrière internationale et influence la mode, la littérature et les arts décoratifs de son époque.;Directrice de théâtre à la Renaissance puis au théâtre des Nations qu'elle nomme le théâtre Sarah Bernhardt.;Femme engagée elle prend le parti d'Émile Zola dans l'affaire Dreyfus et s'engage contre la peine de mort.;Amputée d'une jambe en 1915, elle ne se produira plus qu'assise, très populaire, la France lui consacre des funérailles nationales lors de sa mort en 1923.;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Sarah_Bernhardt.jpg;651712.0643;6861373.8829;"{""coordinates"": [2.34195899931888, 48.850596000158426], ""type"": ""Point""}";48.8505960002,2.34195899932;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/861dccc4ea087a2c02c718de0efc5576
Flora Tristan;77 Illustres Parisiennes;100bis rue du bac;Considérée comme première féministe par beaucoup, Flora Tristan est une figure majeure du débat social dans les années 1840.;Elle habite le 100bis rue du bac et écrit dans son petit appartement des textes pour la défense de la classe ouvrière sur des questions de protection sociale, droit du travail, égalité hommes-femmes.;Elle est aussi la grand-mère maternelle de Paul Gauguin.;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Flora_Tristan.jpg;650378.5055;6861749.8815;"{""coordinates"": [2.323743000449752, 48.853875999692704], ""type"": ""Point""}";48.8538759997,2.32374300045;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/f209c271b620cb7cbbd4859e99875e86
George Sand;77 Illustres Parisiennes;46 rue du Meslay 75003;George Sand est née au 46 rue de Meslay, une plaque commémorative est apposée sur la façade de l'immeuble lui rendant hommage.;George Sand, est le pseudonyme d'Amantine Aurore Lucile Dupin,  auteure dramatique et féministe engagée.;Elle est une des rares femmes françaises à bénéficier de la permission de travestissement lui permettant de porter un pantalon.;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/George_Sand.png;652854.3768;6863331.2521;"{""coordinates"": [2.357308000154074, 48.868283000238385], ""type"": ""Point""}";48.8682830002,2.35730800015;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/c9ed3d656db7ee0cf8d098a3fde3da92
Nafissa Sid Cara;77 Illustres Parisiennes;78 rue de lille;Première femme musulmane du gouvernement français.;"Nafissa Sid Cara est élue en 1958 en tant que députée d'Alger à l'Assemble Nationale française et devient secrétaire d'Etat ""chargée des questions sociales en Algérie et de l'évolution du statut personnel de droit musulman"", à l'hôtel de Beauharnais, rue de Lille.";Elle y restera jusqu'au 14 avril 1962 où elle oeuvre à la promotion des femmes musulmanes.;Par la suite, elle sera inspectrice générale des affaires sociales jusqu'en 1975 et en 1979, membre de la commission nationale chargée de l'étude des problèmes des français musulmans.;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Nafissa_Sid_Cara.jpg;650286.7974;6862512.9381;"{""coordinates"": [2.322403999927159, 48.86073100038571], ""type"": ""Point""}";48.8607310004,2.32240399993;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/ed337e7f15fd4ca87a7e05113d0a523a
Marie Laurencin;Artistes;1 rue Savorgnan de Brazza;Auteure de près de 2000 peintures à l'huile Marie Laurencin a un style très personnel aux frontières du fauvisme et du cubisme.;"Apollinaire lui dédie plusieurs poèmes et elle lui dédie des toiles dont ""Apollinaire et ses amis"" en 1909 où l'on reconnait Picasso et Gertrude Stein.";C'est au 1 rue Savorgnan de Brazza que l'artiste contribue par l'originalité de son oeuvre à revendiquer la place des femmes dans l'art, Marie Laurencin demeure à cette adresse jusqu'à sa mort en 1956.;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Marie_Laurencin.jpg;648901.2915;6861900.4972;"{""coordinates"": [2.303593999541468, 48.85511500023756], ""type"": ""Point""}";48.8551150002,2.30359399954;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/594b1bcc29f07d77fea670d3f49e965f
Ghislaine Arabian;Cheffes;12 rue Liancourt;Dans le 14ème arrondissement Ghislaine Arabian a repris le restaurant “Les Petites Sorcières” en 2007 afin d’en faire un néobistrot.;Elle s’inspire principalement des cuisines flamande et française dans ses recettes et fait partie des grandes chefs étoilées au guide Michelin.;Elle est aussi célèbre pour son passage remarqué en tant que jury dans l’émission Top Chef.;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Ghislaine_Arabian.jpg;650654.6666;6859512.559;"{""coordinates"": [2.32776599965496, 48.833777000223634], ""type"": ""Point""}";48.8337770002,2.32776599965;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/5b66d36f5e0e06908f0114adf430f6e5
Germaine Poinso-Chapuis;Politiques;14 avenue Duquesne;Avocate de profession, Germaine Poinso-Chapuis s’engage en résistance avec le Mouvement de libération nationale.;Après la Libération, elle sera en 1947 la première femme ministre française, nommée à la Santé Publique ici au 14 avenue Duquesne.;Elle demeure la seule à exercer cette fonction de 1947 à 1948 jusqu'à Simone Veil en 1974;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Germaine_Poinso_Chapuis.jpg;649302.5808;6861562.9301;"{""coordinates"": [2.30910300009517, 48.85211099984919], ""type"": ""Point""}";48.8521109998,2.3091030001;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/c5ff37c5cb863321e8ab409e4a4f328e
Émilie du Chatelet;Scientifiques;2 rue St-Louis-en-île;Résidente du 2 rue St-Louis-en-île, Émilie du Châtelet est une des premières femmes d'influence en matière de mathématiques, elle sera aussi femme de lettre, physicienne et traductrice.;Elle est reconnue pour avoir traduit en français les principes mathématiques de Newton, et pour avoir contribué à l'oeuvre de Leibniz.;Crée en 2006 l'institut Émilie du châtelet, rattaché au musée de l'Homme de Paris, est le premier institut de recherche ayant pour but de développer et diffuser les recherches sur les femmes, le genre et le sexe.;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Emilie_du_Chatelet.jpg;652993.0621;6861391.482;"{""coordinates"": [2.359412999472627, 48.85084899955612], ""type"": ""Point""}";48.8508489996,2.35941299947;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/d18620523ec4e43fcff09790047e73ea
Maryse Hilsz;Sportives;34 Rue Maryse Hilsz;Pionnière de l’aviation française et détentrice de nombreux records de vitesse et de distance, Maryse Hilsz est aussi une figure forte de la résistance pendant la seconde guerre mondiale.;Elle remporte par deux fois la coupe Hélène Boucher et se retrouve en tête de liste des femmes pilotes admises dans l’armée de l’air, et affectée au Groupe de liaisons aériennes ministérielles.;Décorée de la légion d’honneur, une rue de Paris lui rend hommage ainsi qu’un centre sportif.;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Maryse_Hilsz.jpg;656899.0107;6861601.1864;"{""coordinates"": [2.412618000090815, 48.85300799984143], ""type"": ""Point""}";48.8530079998,2.41261800009;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/fe4e076b36627d0429e42e26395272e1
Manon Fleury;77 Illustres Parisiennes;16 rue Jean Mermoz;Originaire de Bourgogne, Manon Fleury a tout d'une grande cheffe.;Elle fait ses classes à ZE Kitchen Gallerie et à l'école Ferrandi.;Elle fait ses stages dans les plus grande maisons parisienne puis part pour les États-Unis à New-York plus précisément.;Depuis son retour à Paris c'est au restaurant le Mermoz que Manon Fleury propose sa cuisine inventive garnie de produits de petits producteur privilégiant une carte courte.;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/NoPhoto.png;649495.7582;6863628.6683;"{""coordinates"": [2.311489999445783, 48.8707030002242], ""type"": ""Point""}";48.8707030002,2.31148999945;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/58ac627c790ecd94e05883c83a2c9111
Tatiana et Katia Levha;77 Illustres Parisiennes;52 rue Saint-Maur;Au 32 rue Saint-Maur se situe le restaurant des soeurs Levha, le Double Dragon.;Elles commencent ensemble leur aventure gastronomique avec un premier restaurant en 2014, le Servan, rue St-Maur lui aussi.;Tatiana obtient en 2015 le prix du meilleur bistrot par le fooding et le succès de leur cuisine les pousse à ouvrir un deuxième restaurant.;En 2018 le Double Dragon ouvre ses portes et propose des plats hauts en couleurs aux saveurs asiatiques.;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/NoPhoto.png;654508.3348;6862676.5171;"{""coordinates"": [2.379924000020052, 48.86251399986047], ""type"": ""Point""}";48.8625139999,2.37992400002;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/58ac627c790ecd94e05883c83a2c9111
Germaine Tillion;77 Illustres Parisiennes;Panthéon;C'est au Panthéon que Germaine Tillion, figure emblématique de la Résistance fait son entrée le 27 mai 2015 avec Geneviève de Gaulle, Pierre Brossolette et Jean Zay...;Elle a fait de sa vie un combat pour les droits de l'homme, n'hésitant pas à prendre position durant la seconde guerre mondiale, lors de la guerre d'Algérie, la guerre en Irak...;Germaine Tillion fut à de nombreuses reprises décorée pour ses actes héroïques en tant de guerre.;;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Germaine_Tillion.jpg;652005.9055;6860861.0427;"{""coordinates"": [2.34602099941806, 48.846005999873334], ""type"": ""Point""}";48.8460059999,2.34602099942;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/1ccee7d88d5494a02b777b97454aa57b
Hélène Boucher;77 Illustres Parisiennes;169, rue de Rennes;Hélène Boucher vécut au 169 rue de Rennes, elle commença a prendre des cours d'aviation en 1931.;Deux ans plus tard elle bat le record du monde féminin d'altitude avec un avion léger 2ème catégorie.;Avec ses amies et aviatrices Maryse Bastié et Adrienne Bolland, elle s'engage pour le droit de vote des femmes.;Elle disparait malheureusement à 26 ans lors d'un vol d'entrainement aux commandes d'un Caudron C 430 Rafale à Guyancourt.;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Helene_Boucher.jpg;650429.5065;6860694.9511;"{""coordinates"": [2.32456099990529, 48.844392999634444], ""type"": ""Point""}";48.8443929996,2.32456099991;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/f0fc57d01907b61ea19f6b65f750bc59
Cécile Sorel;Comédiennes;7 Quai Voltaire;Cécile Sorel vécut pendant 20 vingt ans au 7 quai de Voltaire.;Comédienne classique et sociétaire de la comédie française, Oscar Wilde fut un de ses admirateurs.;Connue pour ses tenues extravagantes, elle se spécialise dans les rôles de grande coquette et fera sensation dans le rôle de Célimène du Misanthrope de Molière.;Elle se convertit au catholicisme en 1950 et entre dans les ordres prenant le nom de Ste-Cécile, elle consacre ses dernières années à l’écriture et à la foi.;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Cecile_Sorel.jpg;651002.8484;6862255.972;"{""coordinates"": [2.332192999643032, 48.85847500040504], ""type"": ""Point""}";48.8584750004,2.33219299964;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/05f880d900e687c80a5aeda0187ae06f
Irène Joliot-Curie;Scientifiques;26 rue d’ULM;Au 26 rue d'ULM, le couple Joliot-Curie fait la découverte de la fission nucléaire et remporte un prix Nobel de chimie en 1935.;Irène fait partie des premières femmmes memebres du Front Populaire comme sous-secrétaire d'État aux recherches scientifiques.;La chimiste milite pour les droits des femmes, s'engage en 1946 au sein de l'union des femmes françaises.;L'académie des sciences refuse par quatre fois de lui accorder un siège.;;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Irene_Joliot_Curie.jpg;651907.6382;6860587.3104;"{""coordinates"": [2.344713000134576, 48.84353699994517], ""type"": ""Point""}";48.8435369999,2.34471300013;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/806493a60732c64d7da081bfcf5cfae1
Annie Girardot;77 Illustres Parisiennes;25 place des Vosges;Le 25 place des Vosges était le lieu de résidence d'Annie Girardot et de Renato Salvatori à partir de 1961.;Actrice française ayant reçu 3 césars,  elle tourna avec les plus grands dont Michel Audiard, Philippe Noiret, Claude Lelouch ...;"En 2003 parait son livre ""partir, revenir: les passions vives"" où elle décrit le 25 place des Vosges comme tel: ""Avant de devenir l’un des endroits les plus chics de la capitale, c’est un lieu sombre et presque à l’abandon.""";C’est le début d’une grande histoire d’amour avec un appartement qui me colla au corps et à l’âme comme nul autre, qui fut mon nid, pendant près de vingt ans, lieu de tous les plaisirs, de ma solitude, de ma retraite.;Et dont je dus me séparer bien plus tard avec une douleur qui ne s’est jamais apaisée.;;;https://capgeo.sig.paris.fr/PdfEtImages/ParisCelebreLesFemmes/Images/Annie_Girardot.jpg;653444.9449;6861992.0852;"{""coordinates"": [2.365504999482912, 48.85628299974547], ""type"": ""Point""}";48.8562829997,2.36550499948;https://opendata.paris.fr/api/v2/catalog/datasets/femmes-illustres-a-paris-portraits/files/7c8ff843e1bc89f7ccff5ae1b33a849e
